IN MILLISECONDS
TOOK: 11.124849319458008
TOOK: 12.241125106811523
TOOK: 11.333465576171875
TOOK: 12.605905532836914
TOOK: 13.755321502685547
TOOK: 13.431072235107422
TOOK: 12.061595916748047
TOOK: 15.576362609863281
TOOK: 12.68768310546875
TOOK: 13.11492919921875
TOOK: 11.806964874267578
TOOK: 11.187076568603516
TOOK: 12.084722518920898
TOOK: 13.248682022094727
TOOK: 13.128042221069336
TOOK: 15.57612419128418
TOOK: 13.125896453857422
TOOK: 20.471811294555664
TOOK: 16.96181297302246
TOOK: 14.700889587402344
TOOK: 16.92819595336914
TOOK: 12.258052825927734
TOOK: 15.80953598022461
TOOK: 11.606931686401367
TOOK: 11.446237564086914
TOOK: 13.306617736816406
TOOK: 10.605335235595703
TOOK: 12.11237907409668
TOOK: 19.537925720214844
TOOK: 12.171030044555664
TOOK: 20.245075225830078
TOOK: 17.136812210083008
TOOK: 32.27519989013672
TOOK: 17.48061180114746
TOOK: 15.318632125854492
TOOK: 11.868953704833984
TOOK: 16.333580017089844
TOOK: 20.436525344848633
TOOK: 12.873411178588867
TOOK: 15.564441680908203
TOOK: 16.89887046813965
TOOK: 19.31309700012207
TOOK: 11.722326278686523
TOOK: 15.650749206542969
TOOK: 17.218351364135742
TOOK: 17.049551010131836
TOOK: 11.98887825012207
TOOK: 13.86880874633789
TOOK: 12.355566024780273
TOOK: 13.9617919921875
TOOK: 15.36107063293457
TOOK: 17.514944076538086
TOOK: 15.38538932800293
TOOK: 13.733148574829102
TOOK: 11.991739273071289
TOOK: 13.082027435302734
TOOK: 13.556241989135742
TOOK: 11.558055877685547
TOOK: 12.537717819213867
TOOK: 11.7340087890625
TOOK: 11.821985244750977
TOOK: 13.223886489868164
TOOK: 13.57269287109375
TOOK: 15.848636627197266
TOOK: 12.857437133789062
TOOK: 11.829376220703125
TOOK: 13.221263885498047
TOOK: 10.642766952514648
TOOK: 9.10806655883789
TOOK: 11.626482009887695
TOOK: 14.521121978759766
TOOK: 11.455774307250977
TOOK: 32.473087310791016
TOOK: 10.252952575683594
TOOK: 20.972251892089844
TOOK: 43.99847984313965
TOOK: 10.245800018310547
TOOK: 63.03048133850098
TOOK: 25.76160430908203
TOOK: 14.849662780761719
TOOK: 12.508630752563477
TOOK: 11.79647445678711
TOOK: 15.657424926757812
TOOK: 92.78249740600586
TOOK: 11.90638542175293
TOOK: 14.251708984375
TOOK: 12.419939041137695
TOOK: 13.595819473266602
TOOK: 27.177810668945312
TOOK: 17.59505271911621
TOOK: 12.509822845458984
TOOK: 12.70747184753418
TOOK: 49.102067947387695
TOOK: 44.46578025817871
TOOK: 15.409231185913086
TOOK: 14.527559280395508
TOOK: 77.1026611328125
TOOK: 109.02118682861328
TOOK: 97.14913368225098
TOOK: 9.481668472290039
TOOK: 10.669708251953125
TOOK: 63.94600868225098
TOOK: 46.95844650268555
TOOK: 12.709856033325195
TOOK: 24.51014518737793
TOOK: 11.538267135620117
TOOK: 42.677879333496094
TOOK: 45.12786865234375
TOOK: 9.053468704223633
TOOK: 14.647245407104492
TOOK: 10.375022888183594
TOOK: 29.999494552612305
TOOK: 66.70665740966797
TOOK: 15.714883804321289
TOOK: 10.95890998840332
TOOK: 40.0087833404541
TOOK: 15.725374221801758
TOOK: 12.300729751586914
TOOK: 21.364212036132812
TOOK: 11.449813842773438
TOOK: 34.96742248535156
TOOK: 11.21068000793457
TOOK: 108.0770492553711
TOOK: 14.987707138061523
TOOK: 60.645103454589844
TOOK: 48.744916915893555
